,Муниципалитет,округ,ФИО,,
,Юго-Запад,1,Кириллов Дмитрий Дмитриевич,,
,Юго-Запад,2,Зрилов Юрий Михайлович,,
,Юго-Запад,2,Мельниченко Сергей Сергеевич,,
,Юго-Запад,2,Машуров Дмитрий Сергеевич,,
,Юго-Запад,3,Чивильгин Виталий Олегович,,
,Юго-Запад,3,Меньших Семен Олегович,,
,Юго-Запад,4,Казарцев Дмитрий Владимирович,,
,Юго-Запад,4,Левашов Александр Юрьевич,,
,Юго-Запад,4,Пахомов Данила Александрович,,
,Южно-Приморский,1,Вигандт Александр Олегович,,
,Южно-Приморский,1,Моисеева Ирена Игоревна,,
,Южно-Приморский,1,Прокофьев Алексей Вячеславович,,
,Южно-Приморский,2,Голоктеев Константин Николаевич,,
,Южно-Приморский,4,Ветюгов Алексей Леонидович,,
,Южно-Приморский,4,Елизаров Александр Олегович,,
,Юнтолово,691,Тарасов Михаил Григорьевич,,
,Юнтолово,692,Третьяков Игорь Юрьевич,,
,Юнтолово,692,Бушкова Татьяна Олеговна ,,
,Юнтолово,693,Кшеменецкий Владимир Григорьевич,,
,Юнтолово,694,Воронин Евгений Александрович,,
,Юнтолово,694,Менделеева Любовь Юрьевна,,
,Юнтолово,694,Иванчиков Егор Сергеевич,,
